year;PLR (PRD) 3);PDC;PS;UDC;Dém.;PLS 3);AdI;PEV;PCS;PVL;PBD;PST;PSA ;POCH;PES;AVF 4);Sol.;DS;Rép.;UDF;PSL;Lega;MCR;Autres
  1919;28,8;21,0;23,5;15,3;2,0;3,8;*;0,8;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4,8
  1922;28,3;20,9;23,3;16,1;2,1;4,0;*;0,9;*;*;*;1,8;*;*;*;*;*;*;*;*;*;*;*;2,6
  1925;27,8;20,9;25,8;15,3;2,2;3,0;*;0,9;*;*;*;2,0;*;*;*;*;*;*;*;*;*;*;*;2,1
  1928;27,4;21,4;27,4;15,8;1,7;3,0;*;0,7;*;*;*;1,8;*;*;*;*;*;*;*;*;*;*;*;0,8
  1931;26,9;21,4;28,7;15,3;1,2;2,8;*;1,0;*;*;*;1,5;*;*;*;*;*;*;*;*;*;*;*;1,1
  1935;23,7;20,3;28,0;11,0;1,2;3,3;4,1;0,7;*;*;*;1,4;*;*;*;*;*;*;*;*;*;*;*;6,3
  1939;20,7;17,0;25,9;14,7;2,7;1,7;7,1;0,9;*;*;*;2,6;*;*;*;*;*;*;*;*;*;*;*;6,7
  1943;22,5;20,8;28,6;11,6;3,4;3,2;5,5;0,4;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4,0
  1947;23,0;21,2;26,2;12,1;2,9;3,2;4,4;0,9;*;*;*;5,1;*;*;*;*;*;*;*;*;*;*;*;1,0
  1951;24,0;22,5;26,0;12,6;2,2;2,6;5,1;1,0;*;*;*;2,7;*;*;*;*;*;*;*;*;*;*;*;1,3
  1955;23,3;23,2;27,0;12,1;2,2;2,2;5,5;1,1;*;*;*;2,6;*;*;*;*;*;*;*;*;*;*;*;0,9
  1959;23,7;23,3;26,4;11,6;2,2;2,3;5,5;1,4;*;*;*;2,7;*;*;*;*;*;*;*;*;*;*;*;1,0
  1963;23,9;23,4;26,6;11,4;1,8;2,2;5,0;1,6;*;*;*;2,2;*;*;*;*;*;*;*;*;*;*;*;1,8
  1967;23,2;22,1;23,5;11,0;1,4;2,3;9,1;1,6;*;*;*;2,9;*;*;*;*;*;0,6;0,2;*;*;*;*;2,1
  1971;21,8;20,3;22,9;11,1;*;2,2;7,6;2,1;0,3;*;*;2,6;0,3;0,1;*;*;*;3,2;4,3;*;*;*;*;1,2
  1975;22,2;21,1;24,9;9,9;*;2,4;6,1;2,0;0,1;*;*;2,4;0,3;1,0;0,1;*;*;2,5;3,0;0,3;*;*;*;1,7
  1979;24,0;21,3;24,4;11,6;*;2,8;4,1;2,2;*;*;*;2,1;0,4;1,7;0,6;0,2;*;1,3;0,6;0,3;*;*;*;2,3
  1983;23,3;20,2;22,8;11,1;*;2,8;4,0;2,1;0,4;*;*;0,9;0,5;2,2;1,9;1,0;*;2,9;0,5;0,4;*;*;*;2,8
  1987;22,9;19,6;18,4;11,0;*;2,7;4,2;1,9;0,3;*;*;0,8;0,6;1,3;4,9;2,4;*;2,5;0,3;0,9;2,6;*;*;2,6
  1991;21,0;18,0;18,5;11,9;*;3,0;2,8;1,9;0,4;*;*;0,8;0,6;0,2;6,1;1,3;*;3,4;*;1,0;5,1;1,4;*;2,7
  1995;20,2;16,8;21,8;14,9;*;2,7;1,8;1,8;0,3;*;*;1,2;*;*;5,0;1,5;0,3;3,1;*;1,3;4,0;0,9;*;2,4
  1999;19,9;15,9;22,5;22,5;*;2,3;0,7;1,8;0,4;*;*;1,0;*;*;5,0;0,3;0,5;1,8;*;1,3;0,9;0,9;*;2,4
  2003;17,3;14,4;23,3;26,7;*;2,2;*;2,3;0,4;*;*;0,7;*;*;7,4;0,5;0,5;1,0;*;1,3;0,2;0,4;*;1,6
  2007;15,8;14,5;19,5;28,9;*;1,9;*;2,4;0,4;1,4;*;0,7;*;*;9,6;0,2;0,4;0,5;*;1,3;0,1;0,6;0,1;1,7
2011;15,1;12,3;18,7;26,6;*;*;*;2,0;0,3;5,4;5,4;0,5;*;*;8,4;0,3;0,3;0,2;*;1,3;*;0,8;0,4;1,9
2015;16,4;11,6;18,8;29,4;*;*;*;1,9;0,2;4,6;4,1;0,4;*;*;7,1;0,4;0,5;0,1;*;1,2;*;1,0;0,3;2,0
2019;15,1;11,4;16,8;25,6;*;*;*;2,1;0,3;7,8;2,4;0,6;*;*;13,2;0,3;0,5;0,1;*;1,0;*;0,8;0,2;1,8
